001  00001 |Loss: 3.758237 | Acc: 0.000% 
001  00002 |Loss: 3.713410 | Acc: 0.000% 
001  00003 |Loss: 3.640083 | Acc: 10.000% 
001  00004 |Loss: 3.662581 | Acc: 7.000% 
001  00005 |Loss: 3.656048 | Acc: 6.000% 
001  00006 |Loss: 3.628285 | Acc: 10.000% 
001  00007 |Loss: 3.615469 | Acc: 10.000% 
001  00008 |Loss: 3.626026 | Acc: 10.000% 
001  00009 |Loss: 3.608208 | Acc: 12.000% 
001  00010 |Loss: 3.560636 | Acc: 16.000% 
001  00011 |Loss: 3.551366 | Acc: 17.000% 
001  00012 |Loss: 3.562799 | Acc: 16.000% 
001  00013 |Loss: 3.543913 | Acc: 17.000% 
001  00014 |Loss: 3.545309 | Acc: 17.000% 
001  00015 |Loss: 3.528908 | Acc: 18.000% 
001  00016 |Loss: 3.522563 | Acc: 18.000% 
001  00017 |Loss: 3.509251 | Acc: 18.000% 
001  00018 |Loss: 3.493794 | Acc: 19.000% 
001  00019 |Loss: 3.477799 | Acc: 20.000% 
001  00020 |Loss: 3.460035 | Acc: 21.000% 
001  00021 |Loss: 3.460043 | Acc: 21.000% 
001  00022 |Loss: 3.449005 | Acc: 20.000% 
001  00023 |Loss: 3.440213 | Acc: 21.000% 
001  00024 |Loss: 3.414694 | Acc: 22.000% 
001  00025 |Loss: 3.408191 | Acc: 22.000% 
001  00026 |Loss: 3.398915 | Acc: 23.000% 
001  00027 |Loss: 3.397000 | Acc: 23.000% 
001  00028 |Loss: 3.394690 | Acc: 23.000% 
002  00029 |Loss: 2.881500 | Acc: 60.000% 
002  00030 |Loss: 2.977023 | Acc: 55.000% 
002  00031 |Loss: 2.991563 | Acc: 53.000% 
002  00032 |Loss: 2.977541 | Acc: 52.000% 
002  00033 |Loss: 3.012679 | Acc: 50.000% 
002  00034 |Loss: 2.970597 | Acc: 50.000% 
002  00035 |Loss: 3.011836 | Acc: 45.000% 
002  00036 |Loss: 2.993959 | Acc: 47.000% 
002  00037 |Loss: 2.981448 | Acc: 46.000% 
002  00038 |Loss: 2.966506 | Acc: 47.000% 
002  00039 |Loss: 2.956013 | Acc: 48.000% 
002  00040 |Loss: 2.949371 | Acc: 50.000% 
002  00041 |Loss: 2.940559 | Acc: 50.000% 
002  00042 |Loss: 2.916996 | Acc: 52.000% 
002  00043 |Loss: 2.891573 | Acc: 55.000% 
002  00044 |Loss: 2.868839 | Acc: 56.000% 
002  00045 |Loss: 2.870485 | Acc: 57.000% 
002  00046 |Loss: 2.855900 | Acc: 57.000% 
002  00047 |Loss: 2.855157 | Acc: 56.000% 
002  00048 |Loss: 2.855086 | Acc: 56.000% 
002  00049 |Loss: 2.849499 | Acc: 57.000% 
002  00050 |Loss: 2.852623 | Acc: 56.000% 
002  00051 |Loss: 2.844368 | Acc: 56.000% 
002  00052 |Loss: 2.841563 | Acc: 56.000% 
002  00053 |Loss: 2.837700 | Acc: 56.000% 
002  00054 |Loss: 2.828038 | Acc: 56.000% 
002  00055 |Loss: 2.811545 | Acc: 57.000% 
002  00056 |Loss: 2.794275 | Acc: 58.000% 
003  00057 |Loss: 2.478408 | Acc: 60.000% 
003  00058 |Loss: 2.474673 | Acc: 75.000% 
003  00059 |Loss: 2.553100 | Acc: 63.000% 
003  00060 |Loss: 2.488034 | Acc: 70.000% 
003  00061 |Loss: 2.489513 | Acc: 72.000% 
003  00062 |Loss: 2.472775 | Acc: 73.000% 
003  00063 |Loss: 2.451130 | Acc: 75.000% 
003  00064 |Loss: 2.432718 | Acc: 77.000% 
003  00065 |Loss: 2.387040 | Acc: 78.000% 
003  00066 |Loss: 2.399407 | Acc: 79.000% 
003  00067 |Loss: 2.375122 | Acc: 79.000% 
003  00068 |Loss: 2.368300 | Acc: 78.000% 
003  00069 |Loss: 2.357028 | Acc: 78.000% 
003  00070 |Loss: 2.378677 | Acc: 77.000% 
003  00071 |Loss: 2.379236 | Acc: 76.000% 
003  00072 |Loss: 2.388353 | Acc: 76.000% 
003  00073 |Loss: 2.373558 | Acc: 77.000% 
003  00074 |Loss: 2.363639 | Acc: 77.000% 
003  00075 |Loss: 2.364808 | Acc: 77.000% 
003  00076 |Loss: 2.366605 | Acc: 78.000% 
003  00077 |Loss: 2.348682 | Acc: 79.000% 
003  00078 |Loss: 2.337954 | Acc: 79.000% 
003  00079 |Loss: 2.321973 | Acc: 80.000% 
003  00080 |Loss: 2.327757 | Acc: 79.000% 
003  00081 |Loss: 2.324660 | Acc: 78.000% 
003  00082 |Loss: 2.313348 | Acc: 79.000% 
003  00083 |Loss: 2.304522 | Acc: 79.000% 
003  00084 |Loss: 2.303155 | Acc: 78.000% 
004  00085 |Loss: 1.904379 | Acc: 80.000% 
004  00086 |Loss: 2.025707 | Acc: 85.000% 
004  00087 |Loss: 2.008927 | Acc: 86.000% 
004  00088 |Loss: 2.043028 | Acc: 87.000% 
