001  00001 |Loss: 3.704089 | Acc: 0.000% 
001  00002 |Loss: 3.663604 | Acc: 5.000% 
001  00003 |Loss: 3.659005 | Acc: 3.000% 
001  00004 |Loss: 3.683805 | Acc: 2.000% 
001  00005 |Loss: 3.702717 | Acc: 2.000% 
001  00006 |Loss: 3.687227 | Acc: 3.000% 
001  00007 |Loss: 3.696366 | Acc: 2.000% 
001  00008 |Loss: 3.695990 | Acc: 2.000% 
001  00009 |Loss: 3.700270 | Acc: 3.000% 
001  00010 |Loss: 3.684411 | Acc: 5.000% 
001  00011 |Loss: 3.682058 | Acc: 5.000% 
001  00012 |Loss: 3.680829 | Acc: 5.000% 
001  00013 |Loss: 3.681096 | Acc: 4.000% 
001  00014 |Loss: 3.657090 | Acc: 5.000% 
001  00015 |Loss: 3.657346 | Acc: 5.000% 
001  00016 |Loss: 3.660457 | Acc: 5.000% 
001  00017 |Loss: 3.639879 | Acc: 7.000% 
001  00018 |Loss: 3.636999 | Acc: 6.000% 
001  00019 |Loss: 3.643262 | Acc: 6.000% 
001  00020 |Loss: 3.638153 | Acc: 6.000% 
001  00021 |Loss: 3.627020 | Acc: 6.000% 
001  00022 |Loss: 3.629946 | Acc: 6.000% 
001  00023 |Loss: 3.618722 | Acc: 6.000% 
001  00024 |Loss: 3.617493 | Acc: 6.000% 
001  00025 |Loss: 3.579185 | Acc: 7.000% 
001  00026 |Loss: 3.575039 | Acc: 7.000% 
001  00027 |Loss: 3.567933 | Acc: 8.000% 
001  00028 |Loss: 3.562154 | Acc: 8.000% 
002  00029 |Loss: 3.083190 | Acc: 20.000% 
002  00030 |Loss: 3.044532 | Acc: 25.000% 
002  00031 |Loss: 3.125547 | Acc: 20.000% 
002  00032 |Loss: 3.191260 | Acc: 15.000% 
002  00033 |Loss: 3.059723 | Acc: 20.000% 
002  00034 |Loss: 3.093600 | Acc: 18.000% 
002  00035 |Loss: 3.170682 | Acc: 18.000% 
002  00036 |Loss: 3.182512 | Acc: 17.000% 
002  00037 |Loss: 3.182647 | Acc: 18.000% 
002  00038 |Loss: 3.191512 | Acc: 18.000% 
002  00039 |Loss: 3.182896 | Acc: 17.000% 
002  00040 |Loss: 3.112813 | Acc: 19.000% 
002  00041 |Loss: 3.051458 | Acc: 21.000% 
002  00042 |Loss: 3.057821 | Acc: 20.000% 
002  00043 |Loss: 3.024598 | Acc: 22.000% 
002  00044 |Loss: 2.986623 | Acc: 23.000% 
002  00045 |Loss: 3.000127 | Acc: 22.000% 
002  00046 |Loss: 2.971710 | Acc: 22.000% 
002  00047 |Loss: 2.925092 | Acc: 23.000% 
002  00048 |Loss: 2.972430 | Acc: 23.000% 
002  00049 |Loss: 2.960642 | Acc: 22.000% 
002  00050 |Loss: 2.969367 | Acc: 22.000% 
002  00051 |Loss: 2.980451 | Acc: 22.000% 
002  00052 |Loss: 2.968762 | Acc: 22.000% 
002  00053 |Loss: 2.940549 | Acc: 23.000% 
002  00054 |Loss: 2.940874 | Acc: 23.000% 
002  00055 |Loss: 2.913596 | Acc: 24.000% 
002  00056 |Loss: 2.871057 | Acc: 26.000% 
003  00057 |Loss: 2.115882 | Acc: 60.000% 
003  00058 |Loss: 1.809757 | Acc: 60.000% 
003  00059 |Loss: 2.254149 | Acc: 46.000% 
003  00060 |Loss: 2.234564 | Acc: 45.000% 
003  00061 |Loss: 2.424882 | Acc: 40.000% 
003  00062 |Loss: 2.353595 | Acc: 41.000% 
003  00063 |Loss: 2.353281 | Acc: 41.000% 
003  00064 |Loss: 2.433415 | Acc: 40.000% 
003  00065 |Loss: 2.476945 | Acc: 40.000% 
003  00066 |Loss: 2.402974 | Acc: 42.000% 
003  00067 |Loss: 2.376593 | Acc: 43.000% 
003  00068 |Loss: 2.319904 | Acc: 45.000% 
003  00069 |Loss: 2.342182 | Acc: 44.000% 
003  00070 |Loss: 2.307404 | Acc: 45.000% 
003  00071 |Loss: 2.322755 | Acc: 44.000% 
003  00072 |Loss: 2.239198 | Acc: 46.000% 
003  00073 |Loss: 2.275363 | Acc: 45.000% 
003  00074 |Loss: 2.265864 | Acc: 46.000% 
003  00075 |Loss: 2.274199 | Acc: 46.000% 
