001  00001 |Loss: 3.574408 | Acc: 0.000% 
001  00002 |Loss: 3.661762 | Acc: 0.000% 
001  00003 |Loss: 3.690677 | Acc: 0.000% 
001  00004 |Loss: 3.737519 | Acc: 0.000% 
001  00005 |Loss: 3.767449 | Acc: 2.000% 
001  00006 |Loss: 3.860622 | Acc: 1.000% 
001  00007 |Loss: 3.925803 | Acc: 1.000% 
001  00008 |Loss: 4.038470 | Acc: 1.000% 
001  00009 |Loss: 4.010649 | Acc: 2.000% 
001  00010 |Loss: 4.097291 | Acc: 2.000% 
001  00011 |Loss: 4.153788 | Acc: 1.000% 
001  00012 |Loss: 4.182311 | Acc: 1.000% 
001  00013 |Loss: 4.163402 | Acc: 1.000% 
001  00014 |Loss: 4.159019 | Acc: 1.000% 
001  00015 |Loss: 4.190294 | Acc: 2.000% 
001  00016 |Loss: 4.185028 | Acc: 1.000% 
001  00017 |Loss: 4.198206 | Acc: 1.000% 
001  00018 |Loss: 4.217564 | Acc: 1.000% 
001  00019 |Loss: 4.187734 | Acc: 2.000% 
001  00020 |Loss: 4.226038 | Acc: 2.000% 
001  00021 |Loss: 4.213692 | Acc: 1.000% 
001  00022 |Loss: 4.201939 | Acc: 1.000% 
001  00023 |Loss: 4.217160 | Acc: 1.000% 
001  00024 |Loss: 4.226646 | Acc: 1.000% 
001  00025 |Loss: 4.283369 | Acc: 1.000% 
001  00026 |Loss: 4.310403 | Acc: 1.000% 
001  00027 |Loss: 4.338973 | Acc: 1.000% 
001  00028 |Loss: 4.330946 | Acc: 1.000% 
002  00029 |Loss: 4.161633 | Acc: 0.000% 
002  00030 |Loss: 4.271708 | Acc: 0.000% 
002  00031 |Loss: 4.681823 | Acc: 0.000% 
002  00032 |Loss: 4.661513 | Acc: 0.000% 
002  00033 |Loss: 4.670119 | Acc: 0.000% 
002  00034 |Loss: 4.595088 | Acc: 1.000% 
002  00035 |Loss: 4.485097 | Acc: 1.000% 
002  00036 |Loss: 4.448284 | Acc: 2.000% 
002  00037 |Loss: 4.367814 | Acc: 3.000% 
002  00038 |Loss: 4.325117 | Acc: 4.000% 
002  00039 |Loss: 4.251720 | Acc: 4.000% 
002  00040 |Loss: 4.312837 | Acc: 4.000% 
002  00041 |Loss: 4.257430 | Acc: 3.000% 
002  00042 |Loss: 4.300314 | Acc: 3.000% 
002  00043 |Loss: 4.333825 | Acc: 3.000% 
002  00044 |Loss: 4.292590 | Acc: 4.000% 
002  00045 |Loss: 4.325203 | Acc: 4.000% 
002  00046 |Loss: 4.346300 | Acc: 4.000% 
002  00047 |Loss: 4.361740 | Acc: 4.000% 
002  00048 |Loss: 4.377526 | Acc: 4.000% 
002  00049 |Loss: 4.394056 | Acc: 3.000% 
002  00050 |Loss: 4.382991 | Acc: 3.000% 
002  00051 |Loss: 4.351692 | Acc: 3.000% 
002  00052 |Loss: 4.301338 | Acc: 4.000% 
002  00053 |Loss: 4.271793 | Acc: 4.000% 
002  00054 |Loss: 4.254692 | Acc: 4.000% 
002  00055 |Loss: 4.244568 | Acc: 4.000% 
002  00056 |Loss: 4.222088 | Acc: 3.000% 
003  00057 |Loss: 4.806119 | Acc: 0.000% 
003  00058 |Loss: 4.170122 | Acc: 10.000% 
003  00059 |Loss: 3.965541 | Acc: 6.000% 
003  00060 |Loss: 3.853482 | Acc: 12.000% 
003  00061 |Loss: 3.773997 | Acc: 12.000% 
003  00062 |Loss: 3.904653 | Acc: 11.000% 
003  00063 |Loss: 3.829795 | Acc: 11.000% 
003  00064 |Loss: 3.831081 | Acc: 12.000% 
003  00065 |Loss: 3.826369 | Acc: 11.000% 
003  00066 |Loss: 3.831060 | Acc: 10.000% 
003  00067 |Loss: 3.845931 | Acc: 9.000% 
003  00068 |Loss: 3.812048 | Acc: 8.000% 
003  00069 |Loss: 3.794116 | Acc: 7.000% 
003  00070 |Loss: 3.765991 | Acc: 8.000% 
003  00071 |Loss: 3.724366 | Acc: 8.000% 
003  00072 |Loss: 3.735818 | Acc: 7.000% 
003  00073 |Loss: 3.726705 | Acc: 7.000% 
003  00074 |Loss: 3.727146 | Acc: 7.000% 
003  00075 |Loss: 3.737508 | Acc: 6.000% 
003  00076 |Loss: 3.751988 | Acc: 7.000% 
003  00077 |Loss: 3.785195 | Acc: 6.000% 
003  00078 |Loss: 3.782173 | Acc: 6.000% 
003  00079 |Loss: 3.778316 | Acc: 6.000% 
003  00080 |Loss: 3.785548 | Acc: 6.000% 
003  00081 |Loss: 3.792037 | Acc: 6.000% 
003  00082 |Loss: 3.760320 | Acc: 6.000% 
003  00083 |Loss: 3.779858 | Acc: 6.000% 
003  00084 |Loss: 3.779144 | Acc: 6.000% 
004  00085 |Loss: 3.199985 | Acc: 10.000% 
004  00086 |Loss: 3.297473 | Acc: 10.000% 
004  00087 |Loss: 3.530028 | Acc: 10.000% 
004  00088 |Loss: 3.495018 | Acc: 12.000% 
004  00089 |Loss: 3.533083 | Acc: 12.000% 
004  00090 |Loss: 3.477842 | Acc: 13.000% 
