001  00001 |Loss: 4.003100 | Acc: 0.000% 
001  00002 |Loss: 3.837120 | Acc: 0.000% 
001  00003 |Loss: 3.845139 | Acc: 0.000% 
001  00004 |Loss: 3.833388 | Acc: 0.000% 
001  00005 |Loss: 3.871005 | Acc: 2.000% 
001  00006 |Loss: 3.919017 | Acc: 1.000% 
001  00007 |Loss: 3.975729 | Acc: 1.000% 
001  00008 |Loss: 3.999237 | Acc: 1.000% 
001  00009 |Loss: 4.084628 | Acc: 1.000% 
001  00010 |Loss: 4.036779 | Acc: 2.000% 
001  00011 |Loss: 4.023328 | Acc: 1.000% 
001  00012 |Loss: 4.101997 | Acc: 1.000% 
001  00013 |Loss: 4.138995 | Acc: 1.000% 
001  00014 |Loss: 4.114213 | Acc: 2.000% 
001  00015 |Loss: 4.109148 | Acc: 2.000% 
001  00016 |Loss: 4.123725 | Acc: 1.000% 
001  00017 |Loss: 4.158478 | Acc: 1.000% 
001  00018 |Loss: 4.151978 | Acc: 2.000% 
001  00019 |Loss: 4.120462 | Acc: 2.000% 
001  00020 |Loss: 4.141107 | Acc: 2.000% 
001  00021 |Loss: 4.149240 | Acc: 2.000% 
001  00022 |Loss: 4.146669 | Acc: 2.000% 
001  00023 |Loss: 4.187177 | Acc: 2.000% 
001  00024 |Loss: 4.180357 | Acc: 2.000% 
001  00025 |Loss: 4.198473 | Acc: 2.000% 
001  00026 |Loss: 4.194290 | Acc: 2.000% 
001  00027 |Loss: 4.204740 | Acc: 2.000% 
001  00028 |Loss: 4.242650 | Acc: 2.000% 
002  00029 |Loss: 4.204113 | Acc: 0.000% 
002  00030 |Loss: 4.908947 | Acc: 0.000% 
002  00031 |Loss: 4.348938 | Acc: 6.000% 
002  00032 |Loss: 4.220494 | Acc: 5.000% 
002  00033 |Loss: 4.093245 | Acc: 6.000% 
002  00034 |Loss: 4.113692 | Acc: 5.000% 
002  00035 |Loss: 4.061376 | Acc: 4.000% 
002  00036 |Loss: 4.059848 | Acc: 3.000% 
002  00037 |Loss: 4.104425 | Acc: 3.000% 
002  00038 |Loss: 4.108840 | Acc: 4.000% 
002  00039 |Loss: 4.100642 | Acc: 3.000% 
002  00040 |Loss: 4.038175 | Acc: 3.000% 
002  00041 |Loss: 4.089881 | Acc: 3.000% 
002  00042 |Loss: 4.136140 | Acc: 2.000% 
002  00043 |Loss: 4.162251 | Acc: 2.000% 
002  00044 |Loss: 4.141942 | Acc: 3.000% 
002  00045 |Loss: 4.102455 | Acc: 4.000% 
002  00046 |Loss: 4.090534 | Acc: 5.000% 
002  00047 |Loss: 4.099053 | Acc: 5.000% 
002  00048 |Loss: 4.089707 | Acc: 5.000% 
002  00049 |Loss: 4.108462 | Acc: 5.000% 
002  00050 |Loss: 4.128267 | Acc: 5.000% 
002  00051 |Loss: 4.139530 | Acc: 5.000% 
002  00052 |Loss: 4.138537 | Acc: 5.000% 
002  00053 |Loss: 4.134919 | Acc: 6.000% 
002  00054 |Loss: 4.120015 | Acc: 6.000% 
002  00055 |Loss: 4.143743 | Acc: 6.000% 
002  00056 |Loss: 4.138831 | Acc: 6.000% 
003  00057 |Loss: 3.994553 | Acc: 0.000% 
003  00058 |Loss: 3.800223 | Acc: 0.000% 
003  00059 |Loss: 3.914852 | Acc: 0.000% 
003  00060 |Loss: 3.817498 | Acc: 2.000% 
003  00061 |Loss: 3.842045 | Acc: 2.000% 
003  00062 |Loss: 3.796841 | Acc: 1.000% 
003  00063 |Loss: 3.794222 | Acc: 1.000% 
003  00064 |Loss: 3.852294 | Acc: 2.000% 
003  00065 |Loss: 3.908179 | Acc: 2.000% 
003  00066 |Loss: 3.923104 | Acc: 2.000% 
003  00067 |Loss: 3.891610 | Acc: 2.000% 
003  00068 |Loss: 3.829904 | Acc: 3.000% 
003  00069 |Loss: 3.846317 | Acc: 3.000% 
003  00070 |Loss: 3.873547 | Acc: 2.000% 
003  00071 |Loss: 3.839512 | Acc: 3.000% 
003  00072 |Loss: 3.801046 | Acc: 3.000% 
003  00073 |Loss: 3.829417 | Acc: 3.000% 
003  00074 |Loss: 3.804729 | Acc: 4.000% 
003  00075 |Loss: 3.788753 | Acc: 4.000% 
003  00076 |Loss: 3.783787 | Acc: 4.000% 
003  00077 |Loss: 3.770725 | Acc: 4.000% 
003  00078 |Loss: 3.792451 | Acc: 4.000% 
003  00079 |Loss: 3.768365 | Acc: 5.000% 
003  00080 |Loss: 3.759826 | Acc: 5.000% 
003  00081 |Loss: 3.762110 | Acc: 5.000% 
003  00082 |Loss: 3.774569 | Acc: 5.000% 
003  00083 |Loss: 3.745166 | Acc: 5.000% 
003  00084 |Loss: 3.724436 | Acc: 5.000% 
004  00085 |Loss: 3.185770 | Acc: 0.000% 
004  00086 |Loss: 3.502663 | Acc: 5.000% 
004  00087 |Loss: 3.395360 | Acc: 6.000% 
004  00088 |Loss: 3.470710 | Acc: 5.000% 
004  00089 |Loss: 3.405896 | Acc: 8.000% 
004  00090 |Loss: 3.394255 | Acc: 10.000% 
004  00091 |Loss: 3.388154 | Acc: 11.000% 
004  00092 |Loss: 3.538279 | Acc: 10.000% 
004  00093 |Loss: 3.640958 | Acc: 8.000% 
004  00094 |Loss: 3.626716 | Acc: 10.000% 
004  00095 |Loss: 3.606263 | Acc: 9.000% 
004  00096 |Loss: 3.617131 | Acc: 9.000% 
004  00097 |Loss: 3.619475 | Acc: 9.000% 
004  00098 |Loss: 3.612118 | Acc: 9.000% 
004  00099 |Loss: 3.607209 | Acc: 10.000% 
004  00100 |Loss: 3.561628 | Acc: 10.000% 
004  00101 |Loss: 3.571162 | Acc: 10.000% 
004  00102 |Loss: 3.550615 | Acc: 10.000% 
004  00103 |Loss: 3.549993 | Acc: 9.000% 
004  00104 |Loss: 3.558515 | Acc: 9.000% 
004  00105 |Loss: 3.537675 | Acc: 8.000% 
004  00106 |Loss: 3.505984 | Acc: 9.000% 
004  00107 |Loss: 3.514682 | Acc: 9.000% 
004  00108 |Loss: 3.544708 | Acc: 8.000% 
004  00109 |Loss: 3.547239 | Acc: 8.000% 
004  00110 |Loss: 3.527451 | Acc: 8.000% 
004  00111 |Loss: 3.540635 | Acc: 8.000% 
004  00112 |Loss: 3.525597 | Acc: 8.000% 
005  00113 |Loss: 3.134219 | Acc: 0.000% 
005  00114 |Loss: 3.793919 | Acc: 0.000% 
005  00115 |Loss: 3.589660 | Acc: 3.000% 
005  00116 |Loss: 3.553431 | Acc: 2.000% 
005  00117 |Loss: 3.769582 | Acc: 2.000% 
005  00118 |Loss: 3.599167 | Acc: 3.000% 
005  00119 |Loss: 3.559119 | Acc: 2.000% 
005  00120 |Loss: 3.576307 | Acc: 2.000% 
005  00121 |Loss: 3.545640 | Acc: 3.000% 
005  00122 |Loss: 3.515796 | Acc: 5.000% 
005  00123 |Loss: 3.447392 | Acc: 6.000% 
005  00124 |Loss: 3.454921 | Acc: 6.000% 
005  00125 |Loss: 3.396453 | Acc: 7.000% 
005  00126 |Loss: 3.404984 | Acc: 7.000% 
005  00127 |Loss: 3.317030 | Acc: 9.000% 
005  00128 |Loss: 3.294109 | Acc: 9.000% 
